idi,idj,farmi,farmj,bmai,bmaj,dij1,dij2,dij3,dij4,dij5,dij6,dij7,dij8,dij9,dij10,dij11,dij12,dij13,dij14,fbi,fbj,farmij,bma1
21,27,350,54,2B,1,38595.73,1651.8186,1602.4313,1534.8987,38603.406,39306.336,58016.027,173212.97,327715.56,95255.781,93499.93,93658.18,94176.578,38345.156,3-350,1-54,35054,
21,26,350,55,2B,1,34048.473,1483.3877,1438.7942,1370.3892,34055.23,34674.723,50593.133,149789.61,283382.28,86950.195,85639.422,85668.375,86108.039,34063.191,3-350,1-55,35055,
21,34,350,57,2B,1,40052.008,1638.3606,1586.2516,1528.0701,40064.984,41230.246,68485.68,224621.14,429963.69,94871.969,93116.07,93885.844,94766.461,40054.582,3-350,1-57,35057,
21,36,350,59,2B,1,43211.336,1741.8527,1679.4515,1609.9288,43225.512,44488.355,77754.406,252324.3,471878,98741.805,97352.422,98971.531,100349.96,43192.707,3-350,1-59,35059,
21,56,350,84,2B,1,54414.695,2671.678,2647.8025,2607.6401,54423.449,55213.902,76230.492,209127.22,384159.31,222136.23,220223.72,217993.2,213891.28,54420.93,3-350,1-84,35084,
21,90,350,16,2B,2A,41345.945,1791.0476,1768.9031,1754.9763,41349.934,41710.367,54713.281,137227.97,242857.77,166262.34,164939.75,163940.27,162652.28,41372.324,3-350,2-16,35016,
21,89,350,18,2B,2A,40907.016,1793.3673,1773.6812,1758.3428,40910.477,41237.133,54354.637,136333.47,241389.19,166689.13,165600.13,164627.41,163289.11,40948.07,3-350,2-18,35018,
21,87,350,20,2B,2A,41342.691,1824.1134,1802.3998,1771.7946,41345.688,41631.391,54351.137,136366.97,241521.81,167042,166014.92,164985.42,163285.5,41379.566,3-350,2-20,35020,
21,86,350,22,2B,2A,40345.16,1783.3356,1765.4105,1744.4159,40349.066,40707.645,53681.777,135494.3,240047.67,164232.33,163368.23,162282.31,160751.97,40396.891,3-350,2-22,35022,
21,83,350,25,2B,2A,39740.102,1761.9161,1747.5532,1739.5078,39745.258,40212.91,54421.965,139847.95,248506.88,165313.17,164297,163530.83,162606.72,39721.395,3-350,2-25,35025,
21,85,350,26,2B,2A,38956.188,1739.2834,1725.9637,1715.7839,38960.324,39347.891,51995.207,130204.75,229960.81,164543.69,164038.94,163192.08,161958.66,38972.867,3-350,2-26,35026,
21,82,350,27,2B,2A,39524.402,1757.9659,1744.4849,1732.8015,39529.93,40029.156,54180.992,138218.89,245430.42,164851.91,164111.36,163360.61,162244.38,39555.871,3-350,2-27,35027,
21,77,350,276,2B,2A,39033.426,1814.3877,1805.0345,1801.3756,39039.215,39543.125,53652.605,146795.83,268650.19,172250.98,171601.52,171100,171128.53,39040.676,3-350,2-276,350276,
21,79,350,29,2B,2A,39257.973,1736.5011,1724.7489,1721.2483,39262.039,39647.375,52962.145,132603.14,234472.89,164581.98,163687.36,162928.63,161972.16,39214.418,3-350,2-29,35029,
21,80,350,32,2B,2A,39322.785,1798.4989,1779.3617,1765.952,39327.172,39737.34,53495.828,134524.86,237875.52,167749.7,167064.23,166382.22,165661.38,39350.461,3-350,2-32,35032,
21,96,350,33,2B,2A,42256.805,1884.0793,1855.5455,1834.7944,42261.879,42734.547,59897.328,166856.77,304420.25,170299.97,168572.31,167840,167315.55,42298.484,3-350,2-33,35033,
21,95,350,34,2B,2A,41711.805,1876.2948,1850.8632,1827.2507,41716.699,42172.813,58637.762,161740.36,294337.22,169699.78,168498.42,167815.22,167243.39,41774.258,3-350,2-34,35034,
21,76,350,37,2B,2A,40657.766,1866.1383,1846.3313,1826.9808,40662.727,41124.492,56498.707,156808.16,284775.69,169467.97,168702.91,168002.27,167407.42,40664.652,3-350,2-37,35037,
21,21,350,350,2B,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-350,3-350,350350,
21,72,350,378,2B,3A,39219.18,1610.9501,1593.1041,1581.1552,39223.508,39637.461,50840.258,119590.67,211673.81,139259.5,138849.33,138577.5,139222.05,39103.031,3-350,4-378,350378,
21,70,350,400,2B,3A,42483.703,1843.2427,1843.7621,1843.9479,42486.043,42710.438,53157.297,125744.23,222444.86,169130.95,169025.33,169323,169494.03,42452.988,3-350,4-400,350400,
21,67,350,404,2B,3A,47915.84,2351.4626,2352.6418,2354.7224,47917.582,48085.117,55960.844,121686.25,216023.75,189639.41,189649.89,190005.45,190609.66,47932.887,3-350,4-404,350404,
21,68,350,412,2B,3A,47158.512,2129.8799,2126.9375,2124.2776,47160.426,47344.035,56149.902,126486.41,222079.53,181177.67,180767.63,180892.45,181046.84,47148.727,3-350,4-412,350412,
21,71,350,496,2B,3A,40133.73,1710.0204,1711.342,1712.047,40135.719,40327.047,49357.324,112451.88,197222.06,158030.28,157828.19,157788.25,157009.67,40048.902,3-350,4-496,350496,
21,66,350,501,2B,3A,48222.68,2449.4602,2439.5562,2427.0305,48224.547,48403.938,57000.879,124406.78,218266.38,202253.16,202003.17,202139.86,202655.02,48190.793,3-350,4-501,350501,
21,69,350,507,2B,3A,44900.402,1988.059,1988.6735,1987.0439,44902.109,45066.164,52823.656,117052.23,205016.77,174495.83,174462.67,174681.05,174904.11,44830.129,3-350,4-507,350507,
21,47,350,186,2B,3C,31862.537,1573.6235,1562.58,1562.17,31868.842,32446.971,49339.813,155654.13,296399.72,176053.52,175389.59,174893.28,174391.11,31878.609,3-350,6-186,350186,
21,46,350,206,2B,3C,30954.955,1547.4059,1528.6919,1515.9072,30959.91,31422.662,47197.457,148525.3,282669.69,165509.84,164723.77,164040.56,162966.11,30985.98,3-350,6-206,350206,
14,25,503,168,2B,1,40528.066,1735.2063,1671.9667,1592.298,40534.801,41132.004,57170.992,159777,298655.47,90360.953,89116.563,89010.852,89564.125,40461.816,3-503,1-168,503168,
14,39,503,179,2B,1,53970.559,2536.1814,2479.5015,2412.6262,53980.672,54870.586,75846.156,201937.09,366201.22,218194.91,215365.75,212525.94,208405.78,53927.012,3-503,1-179,503179,
14,45,503,215,2B,1,46267.973,2228.6826,2197.0037,2160.5098,46276.785,47040.652,64963.434,168818.69,304489.5,206447.11,205174.97,203415.16,200469.36,46260.184,3-503,1-215,503215,
14,40,503,222,2B,1,52759.113,2476.0613,2410.8179,2345.9282,52769.117,53648.371,74358.352,200205.61,365047.56,214407.34,211670,208838.13,205284.67,52719.844,3-503,1-222,503222,
14,41,503,228,2B,1,52029.488,2432.4309,2379.4819,2322.7173,52039.457,52915.719,73413.383,197916.5,360837.88,213222.73,210531.86,207976.72,204529.77,51971.359,3-503,1-228,503228,
14,49,503,251,2B,1,51952.707,2428.5442,2377.4272,2327.0024,51963.563,52907.031,73208.203,194397.45,353130.16,213229.14,210584.22,208167.73,204897.72,51888.559,3-503,1-251,503251,
14,38,503,320,2B,1,54798.441,2246.1973,2151.0999,2045.2037,54817.215,56187.023,79196.477,213512.7,388503.34,114953.61,113471.58,114281.34,114502.21,54692.121,3-503,1-320,503320,
14,57,503,342,2B,1,63878.914,3101.3174,3057.5056,2981.4546,63886.922,64571.855,85020.813,216686.42,391507.22,231563.23,229573.89,226499.52,221366.39,63889.211,3-503,1-342,503342,
14,52,503,370,2B,1,56122.313,2711.7891,2666.5056,2615.4128,56131.895,56944.125,76780.141,201694.06,365796.19,217049.89,215999.8,214668.81,212256.36,56113.496,3-503,1-370,503370,
14,48,503,377,2B,1,54587.43,2541.3923,2490.6265,2441.0959,54598.328,55546.313,76041.094,200760.72,364550.41,217821.77,215119.78,212747.14,209506.63,54513.172,3-503,1-377,503377,
14,43,503,44,2B,1,44673.363,2146.8799,2120.6211,2089.2095,44684.102,45420.625,61623.137,158842.3,284998.84,203350.55,202316.38,200738.77,197722.13,44680.258,3-503,1-44,50344,
14,44,503,45,2B,1,45797.242,2214.594,2181.8364,2149.0984,45806.75,46631.164,65745.18,171744.2,310174.03,206055.42,204797.77,203199.53,200551.23,45760.301,3-503,1-45,50345,
14,42,503,46,2B,1,45947.848,2235.0068,2193.6331,2148.5161,45978.496,47264.438,68287.805,183268.08,332414.47,204429.73,203112.22,201418.11,198914.06,45940.547,3-503,1-46,50346,
14,58,503,502,2B,1,59965.395,2877.3516,2832.7651,2761.811,59973.348,60652.621,80605.672,208856.84,377873.69,222615.98,221162.69,218704.61,214073.38,59905.191,3-503,1-502,503502,
14,59,503,504,2B,1,60868.828,2853.6145,2794.9412,2703.1978,60877.004,61578.156,82506.453,214721.31,388403.53,208995.81,207699.58,205703.78,202806.7,60893.086,3-503,1-504,503504,
14,33,503,51,2B,1,46388.402,1940.1746,1856.8959,1754.8373,46403.059,47493.016,70083.563,208170.45,392948.69,101405.09,99214.258,98081.43,97279.797,46370.25,3-503,1-51,50351,
14,29,503,52,2B,1,45811.441,2136.7393,2100.4004,2063.3899,45827.004,47031.984,66743.352,190393.39,356933.03,197155.91,197132.91,197701.75,196090.53,45233.734,3-503,1-52,50352,
14,28,503,53,2B,1,46490.023,2158.0046,2121.3259,2079.8772,46505.891,47384.91,67000.844,190866.09,357814.84,197764.73,197705.19,198299.91,196601.14,45858.059,3-503,1-53,50353,
14,27,503,54,2B,1,46208.52,1976.9342,1906.2843,1809.5364,46216.27,46906.289,66062.289,186908.81,349909.84,101379.48,99620.305,99331.602,99307.938,45916.48,3-503,1-54,50354,
14,26,503,55,2B,1,41661.262,1805.9229,1740.019,1643.1483,41668.094,42274.676,58639.398,163485.45,305576.56,93030.211,91712.836,91308.406,91248.789,41634.512,3-503,1-55,50355,
14,34,503,57,2B,1,47664.801,1968.2041,1892.9149,1805.095,47677.852,48830.199,76531.945,238316.98,452157.97,101167.21,99502.313,99819.086,100199.25,47625.902,3-503,1-57,50357,
14,36,503,59,2B,1,50824.129,2077.1677,1991.7948,1893.9786,50838.375,52088.309,85800.672,260066.22,479350.16,105328.95,103972.26,105138.59,106076.88,50764.031,3-503,1-59,50359,
14,56,503,84,2B,1,62027.488,2977.9954,2936.6311,2870.8325,62036.324,62796.547,84276.75,216869.14,391631.47,227311.88,225341.33,222681.92,217920.55,61992.254,3-503,1-84,50384,
14,90,503,16,2B,2A,48958.734,2102.1248,2061.2878,2020.1204,48962.809,49293.012,62759.547,144648.31,244419.7,171429.72,170039.89,168569.09,166541.14,48943.645,3-503,2-16,50316,
14,89,503,18,2B,2A,48519.809,2111.3379,2074.313,2032.3607,48523.352,48819.781,62400.902,143753.81,242951.14,173080,171941.09,170552.52,168489.39,48519.395,3-503,2-18,50318,
14,87,503,20,2B,2A,48955.484,2154.6213,2115.4236,2057.7749,48958.563,49214.035,62397.402,143787.31,243083.77,174142.11,173054.11,171592.77,169152.81,48950.887,3-503,2-20,50320,
14,86,503,22,2B,2A,47957.949,2111.696,2077.8513,2031.0333,47961.941,48290.289,61728.043,142914.64,241609.61,172298.84,171450.19,170020.73,167808.08,47968.215,3-503,2-22,50322,
14,83,503,25,2B,2A,47352.895,2068.5715,2036.7478,2002.3123,47358.133,47795.555,62468.23,147268.28,250068.83,169746.95,168650.53,167465.75,165848.39,47292.715,3-503,2-25,50325,
14,85,503,26,2B,2A,46568.977,2039.2313,2008.0756,1971.679,46573.199,46930.535,60041.473,137625.09,231522.77,168884.36,168309.92,167034.14,165108.09,46544.191,3-503,2-26,50326,
14,82,503,27,2B,2A,47137.195,2084.2925,2052.9602,2014.0636,47142.805,47611.801,62227.258,145639.23,246992.38,171558.83,170735.45,169540.8,167666.19,47127.191,3-503,2-27,50327,
14,77,503,276,2B,2A,46646.219,2137.1384,2109.7205,2079.6697,46652.09,47125.77,61698.871,154537.75,276122.38,178886.03,178130.92,177188.78,176464.77,46611.996,3-503,2-276,503276,
14,79,503,29,2B,2A,46870.766,2061.5781,2032.3807,2002.5696,46874.914,47230.02,61008.406,140023.47,236034.83,171142.53,170195.55,169020.7,167347.7,46785.742,3-503,2-29,50329,
14,80,503,32,2B,2A,46935.578,2110.8979,2073.9602,2034.2231,46940.047,47319.984,61542.094,141945.2,239437.47,173244.75,172491.45,171364.06,169917.08,46921.781,3-503,2-32,50332,
14,96,503,33,2B,2A,49869.598,2202.7144,2156.3582,2107.8972,49874.754,50317.191,67943.594,174598.69,305982.22,176594.64,174801.69,173595.7,172281.63,49869.805,3-503,2-33,50333,
14,95,503,34,2B,2A,49324.598,2199.4648,2155.3569,2104.8394,49329.574,49755.457,66684.031,169482.28,295899.19,176372.61,175107.14,173942.27,172603.73,49345.578,3-503,2-34,50334,
14,76,503,37,2B,2A,48270.559,2181.6462,2143.8853,2098.7034,48275.602,48707.137,64544.973,164550.08,286337.63,174884,174057.73,172928.81,171652.16,48235.973,3-503,2-37,50337,
14,15,503,172,2B,2B,1674.6401,98.548752,91.509819,79.102882,1675.4141,1747.0798,2353.7832,6936.5728,13295.606,2476.4114,2316.0864,2149.2766,1904.7118,1655.6035,3-503,3-172,503172,
14,20,503,2,2B,2B,7619.896,328.60318,318.76978,306.16339,7620.0625,7636.4424,8830.4863,18421.41,32130.77,7540.8706,7092.0435,6751.6167,6398.0376,7578.5649,3-503,3-2,5032,
14,18,503,282,2B,2B,3786.5728,173.86848,170.64009,163.87061,3786.656,3794.8655,4446.3677,9310.0996,16114.857,4394.2705,4261.9463,4018.9412,3755.2151,3806.3804,3-503,3-282A,503282,
14,16,503,300,2B,2B,2234.7231,97.85714,94.602615,91.50663,2234.8069,2243.0464,2834.6611,6683.1577,11916.504,2633.395,2556.1743,2403.6084,2286.3325,2223.8418,3-503,3-300,503300,
